Arrival_or_Departure,Date_End_of_Quater,Year_Text,No_of_Visitors_to_Kenya,Visitors_by_Purpose,Period_Quater,Results_Status,OBJECTID
Arrivals,03/31/1995 12:00:00 AM,1995*,109600,Visitors on Holiday,Q1,Preliminary ,88
Arrivals,06/30/1995 12:00:00 AM,1995*,138300,Visitors on Holiday,Q2,Preliminary ,89
Arrivals,09/30/1995 12:00:00 AM,1995*,150300,Visitors on Holiday,Q3,Preliminary ,90
Arrivals,12/31/1995 12:00:00 AM,1995*,139200,Visitors on Holiday,Q4,Preliminary ,91
Arrivals,03/31/1999 12:00:00 AM,1999*,193800,Visitors on Holiday,Q1,Preliminary ,92
Arrivals,06/30/1999 12:00:00 AM,1999*,163700,Visitors on Holiday,Q2,Preliminary ,93
Arrivals,09/30/1999 12:00:00 AM,1999*,207700,Visitors on Holiday,Q3,Preliminary ,94
Arrivals,12/31/1999 12:00:00 AM,1999*,181700,Visitors on Holiday,Q4,Preliminary ,95
Arrivals,03/31/2004 12:00:00 AM,2004',209400,Visitors on Holiday,Q1,Preliminary ,96
Arrivals,06/30/2004 12:00:00 AM,2004',178500,Visitors on Holiday,Q2,Preliminary ,97
Arrivals,10/04/2000 12:00:00 AM,2004',239300,Visitors on Holiday,Q3,Preliminary ,98
Arrivals,12/31/2004 12:00:00 AM,2004*,258400,Visitors on Holiday,Q4,Preliminary ,99
Arrivals,03/31/2009 12:00:00 AM,2009*,248600,Visitors on Holiday,Q1,Preliminary ,100
Arrivals,06/30/2009 12:00:00 AM,2009*,211600,Visitors on Holiday,Q2,Preliminary ,101
Arrivals,10/09/2000 12:00:00 AM,2009*,294700,Visitors on Holiday,Q3,Preliminary ,102
Arrivals,12/31/2009 12:00:00 AM,2009*,306300,Visitors on Holiday,Q4,Preliminary ,103
Arrivals,03/31/2014 12:00:00 AM,2014*,266200,Visitors on Holiday,Q1,Preliminary ,104
Arrivals,06/30/2014 12:00:00 AM,2014*,207000,Visitors on Holiday,Q2,Preliminary ,105
Arrivals,09/30/2014 12:00:00 AM,2014*,267900,Visitors on Holiday,Q3,Preliminary ,106
Arrivals,12/31/2014 12:00:00 AM,2014*,235700,Visitors on Holiday,Q4,Preliminary ,107
Departures,12/31/1995 12:00:00 AM,1995*,113000,Visitors on Holiday,Q4,Preliminary ,108
Departures,12/31/1995 12:00:00 AM,1995,196400,Visitors on Holiday,Q4,Actual,109
Departures,12/31/1996 12:00:00 AM,1996,206000,Visitors on Holiday,Q4,Actual,110
Departures,12/31/1997 12:00:00 AM,1997,168600,Visitors on Holiday,Q4,Actual,111
Departures,12/31/1998 12:00:00 AM,1998,172200,Visitors on Holiday,Q4,Actual,112
Departures,12/31/1999 12:00:00 AM,1999*,182000,Visitors on Holiday,Q4,Preliminary ,113
Departures,12/31/2000 12:00:00 AM,2000,207100,Visitors on Holiday,Q4,Actual,114
Departures,12/31/2001 12:00:00 AM,2001,194200,Visitors on Holiday,Q4,Actual,115
Departures,12/31/2002 12:00:00 AM,2002,204000,Visitors on Holiday,Q4,Actual,116
Departures,12/31/2003 12:00:00 AM,2003,180900,Visitors on Holiday,Q4,Actual,117
Departures,12/31/2004 12:00:00 AM,2004*,258400,Visitors on Holiday,Q4,Preliminary ,118
Departures,12/31/2005 12:00:00 AM,2005,267000,Visitors on Holiday,Q4,Actual,119
Departures,12/31/2006 12:00:00 AM,2006,284900,Visitors on Holiday,Q4,Actual,120
Departures,03/31/2014 12:00:00 AM,2014*,234600,Visitors on Holiday,Q1,Preliminary ,121
Departures,12/31/2007 12:00:00 AM,2007,295000,Visitors on Holiday,Q4,Actual,122
Departures,06/30/2014 12:00:00 AM,2014*,205600,Visitors on Holiday,Q2,Preliminary ,123
Departures,12/31/2008 12:00:00 AM,2008,236600,Visitors on Holiday,Q4,Actual,124
Departures,09/30/2014 12:00:00 AM,2014*,244900,Visitors on Holiday,Q3,Preliminary ,125
Departures,12/31/2009 12:00:00 AM,2009*,306700,Visitors on Holiday,Q4,Preliminary ,126
Departures,12/31/2014 12:00:00 AM,2014*,260300,Visitors on Holiday,Q4,Preliminary ,127
Departures,03/31/1991 12:00:00 AM,1991,149300,Visitors on Holiday,Q1,Actual,128
Departures,03/31/1992 12:00:00 AM,1992,186000,Visitors on Holiday,Q1,Actual,129
Departures,03/31/1993 12:00:00 AM,1993,163400,Visitors on Holiday,Q1,Actual,130
Departures,03/31/1994 12:00:00 AM,1994,205900,Visitors on Holiday,Q1,Actual,131
Departures,03/31/1995 12:00:00 AM,1995*,130000,Visitors on Holiday,Q1,Preliminary ,132
Departures,03/31/1995 12:00:00 AM,1995,215200,Visitors on Holiday,Q1,Actual,133
Departures,03/31/1996 12:00:00 AM,1996,214400,Visitors on Holiday,Q1,Actual,134
Departures,03/31/1997 12:00:00 AM,1997,221600,Visitors on Holiday,Q1,Actual,135
Departures,03/31/1998 12:00:00 AM,1998,181200,Visitors on Holiday,Q1,Actual,136
Departures,03/31/1999 12:00:00 AM,1999*,196000,Visitors on Holiday,Q1,Preliminary ,137
Departures,03/31/2000 12:00:00 AM,2000,194500,Visitors on Holiday,Q1,Actual,138
Departures,03/31/2001 12:00:00 AM,2001,200300,Visitors on Holiday,Q1,Actual,139
Departures,03/31/2002 12:00:00 AM,2002,176000,Visitors on Holiday,Q1,Actual,140
Departures,03/31/2003 12:00:00 AM,2003,206700,Visitors on Holiday,Q1,Actual,141
Departures,03/31/2004 12:00:00 AM,2004*,209400,Visitors on Holiday,Q1,Preliminary ,142
Departures,03/31/2005 12:00:00 AM,2005,258900,Visitors on Holiday,Q1,Actual,143
Departures,03/31/2006 12:00:00 AM,2006,285300,Visitors on Holiday,Q1,Actual,144
Departures,03/31/2007 12:00:00 AM,2007,314200,Visitors on Holiday,Q1,Actual,145
Departures,03/31/2008 12:00:00 AM,2008,210100,Visitors on Holiday,Q1,Actual,146
Departures,03/31/2009 12:00:00 AM,2009*,258700,Visitors on Holiday,Q1,Preliminary ,147
Departures,06/30/1991 12:00:00 AM,1991,111200,Visitors on Holiday,Q2,Actual,148
Departures,06/30/1992 12:00:00 AM,1992,114600,Visitors on Holiday,Q2,Actual,149
Departures,06/30/1993 12:00:00 AM,1993,118700,Visitors on Holiday,Q2,Actual,150
Departures,06/30/1994 12:00:00 AM,1994,173500,Visitors on Holiday,Q2,Actual,151
Departures,06/30/1995 12:00:00 AM,1995*,122600,Visitors on Holiday,Q2,Preliminary ,152
Departures,06/30/1995 12:00:00 AM,1995,179400,Visitors on Holiday,Q2,Actual,153
Departures,06/30/1996 12:00:00 AM,1996,183700,Visitors on Holiday,Q2,Actual,154
Departures,06/30/1997 12:00:00 AM,1997,158800,Visitors on Holiday,Q2,Actual,155
Departures,06/30/1998 12:00:00 AM,1998,152800,Visitors on Holiday,Q2,Actual,156
Departures,06/30/1999 12:00:00 AM,1999*,165500,Visitors on Holiday,Q2,Preliminary ,157
Departures,06/30/2000 12:00:00 AM,2000,165500,Visitors on Holiday,Q2,Actual,158
Departures,06/30/2001 12:00:00 AM,2001,149600,Visitors on Holiday,Q2,Actual,159
Departures,06/30/2002 12:00:00 AM,2002,158500,Visitors on Holiday,Q2,Actual,160
Departures,06/30/2003 12:00:00 AM,2003,112500,Visitors on Holiday,Q2,Actual,161
Departures,06/30/2004 12:00:00 AM,2004*,178500,Visitors on Holiday,Q2,Preliminary ,162
Departures,06/30/2005 12:00:00 AM,2005,221900,Visitors on Holiday,Q2,Actual,163
Departures,06/30/2006 12:00:00 AM,2006,232900,Visitors on Holiday,Q2,Actual,164
Departures,06/30/2007 12:00:00 AM,2007,270200,Visitors on Holiday,Q2,Actual,165
Departures,06/30/2008 12:00:00 AM,2008,193400,Visitors on Holiday,Q2,Actual,166
Departures,06/30/2009 12:00:00 AM,2009*,217500,Visitors on Holiday,Q2,Preliminary ,167
Departures,09/30/1991 12:00:00 AM,1991,156200,Visitors on Holiday,Q3,Actual,168
Departures,09/30/1992 12:00:00 AM,1992,152400,Visitors on Holiday,Q3,Actual,169
Departures,09/30/1993 12:00:00 AM,1993,140100,Visitors on Holiday,Q3,Actual,170
Departures,09/30/1994 12:00:00 AM,1994,173300,Visitors on Holiday,Q3,Actual,171
Departures,09/30/1995 12:00:00 AM,1995*,138900,Visitors on Holiday,Q3,Preliminary ,172
Departures,03/31/2010 12:00:00 AM,2010,265600,Visitors on Holiday,Q1,Actual,173
Departures,09/30/1995 12:00:00 AM,1995,194700,Visitors on Holiday,Q3,Actual,174
Departures,06/30/2010 12:00:00 AM,2010,220200,Visitors on Holiday,Q2,Actual,175
Departures,09/30/1996 12:00:00 AM,1996,196400,Visitors on Holiday,Q3,Actual,176
Departures,09/30/2010 12:00:00 AM,2010,290300,Visitors on Holiday,Q3,Actual,177
Departures,09/30/1997 12:00:00 AM,1997,195300,Visitors on Holiday,Q3,Actual,178
Departures,12/31/2010 12:00:00 AM,2010,309000,Visitors on Holiday,Q4,Actual,179
Departures,09/30/1998 12:00:00 AM,1998,166700,Visitors on Holiday,Q3,Actual,180
Departures,03/31/2011 12:00:00 AM,2011,277600,Visitors on Holiday,Q1,Actual,181
Departures,09/30/1999 12:00:00 AM,1999*,203000,Visitors on Holiday,Q3,Preliminary ,182
Departures,06/30/2011 12:00:00 AM,2011,204900,Visitors on Holiday,Q2,Actual,183
